subject,abs_diff_of_means,human_scores,human_scores_mean,human_scores_std,gpt_scores,gpt_scores_mean,gpt_scores_std
a strange block to be in lava,0.7607142857142857,"[0.25, 0.75, 0.0, 0.0, 0.0, 0.5, 0.0]",0.21428571428571427,0.2812145669289932,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.75, 1.0]",0.975,0.075
something organic and orange,0.5821428571428571,"[0.25, 0.75, 1.0, 1.0, 0.0, 1.0, 0.25]",0.6071428571428571,0.3976974544878587,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0]",0.025,0.07500000000000001
loot,0.4535714285714286,"[1.0, 1.0, 1.0, 0.25, 0.25, 0.5, 0.75]",0.6785714285714286,0.3194382824999699,"[0.25, 0.0, 0.25, 0.0, 0.25, 0.25, 0.25, 0.25, 0.25, 0.5]",0.225,0.13462912017836262
aquatic life,0.3214285714285714,"[0.75, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0]",0.6785714285714286,0.4374088826398532,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0
a dangerous mob,0.3214285714285714,"[0.5, 0.75, 0.75, 0.25, 1.0, 0.25, 0.5]",0.5714285714285714,0.2575393768188564,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",0.25,0.0
a villager without a job,0.3035714285714286,"[0.0, 0.0, 0.25, 0.0, 0.0, 0.25, 0.0]",0.07142857142857142,0.11293848786315641,"[0.0, 0.5, 0.0, 0.0, 1.0, 0.0, 1.0, 0.25, 1.0, 0.0]",0.375,0.4366062299143245
an ominous banner,0.2857142857142857,"[0.25, 1.0, 0.0, 0.25, 0.0, 0.5, 0.0]",0.2857142857142857,0.33881546358946923,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
a promising cave for gathering resources,0.2571428571428572,"[0.5, 0.75, 0.25, 0.0, 0.5, 0.5, 0.25]",0.39285714285714285,0.22587697572631282,"[0.75, 0.75, 0.75, 0.75, 0.75, 0.25, 0.25, 0.75, 0.75, 0.75]",0.65,0.2
a four-block tall tower of sand,0.22857142857142856,"[0.25, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0]",0.07142857142857142,0.11293848786315641,"[0.25, 0.5, 0.0, 0.25, 0.25, 0.5, 0.25, 0.5, 0.5, 0.0]",0.3,0.18708286933869706
a family,0.22499999999999998,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,"[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 1.0, 0.75, 0.75]",0.775,0.075
a magma cube,0.21428571428571427,"[0.25, 1.0, 0.25, 0.0, 0.0, 0.0, 0.0]",0.21428571428571427,0.33881546358946923,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
6 kinds of wood,0.18214285714285716,"[0.25, 0.0, 0.0, 0.75, 0.0, 0.0, 0.0]",0.14285714285714285,0.262445329583912,"[0.25, 0.25, 0.25, 1.0, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",0.325,0.22500000000000003
a close encounter with a nighttime creature,0.1785714285714286,"[1.0, 0.5, 1.0, 1.0, 0.5, 0.75, 1.0]",0.8214285714285714,0.22015764296317775,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0
something that can help me get emeralds,0.1785714285714286,"[1.0, 0.75, 1.0, 0.75, 1.0, 1.0, 1.0]",0.9285714285714286,0.11293848786315641,"[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]",0.75,0.0
a sapling that you planted,0.16428571428571426,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.75, 1.0]",0.9642857142857143,0.08748177652797065,"[0.75, 0.75, 0.75, 0.75, 1.0, 0.75, 0.75, 1.0, 0.75, 0.75]",0.8,0.09999999999999999
a cold place,0.15357142857142858,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0]",0.07142857142857142,0.17496355305594133,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.0, 0.25, 0.25, 0.25]",0.225,0.07500000000000001
day-to-day labor,0.1428571428571429,"[1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0]",0.8571428571428571,0.3499271061118826,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0
an igloo,0.1428571428571429,"[1.0, 1.0, 0.75, 1.0, 0.5, 1.0, 1.0]",0.8928571428571429,0.1821078397711709,"[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]",0.75,0.0
a shipwreck,0.1428571428571429,"[1.0, 0.25, 0.25, 0.25, 1.0, 0.5, 1.0]",0.6071428571428571,0.3499271061118826,"[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]",0.75,0.0
a content critter,0.10714285714285714,"[0.0, 0.0, 0.25, 0.0, 0.25, 0.25, 0.0]",0.10714285714285714,0.12371791482634836,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
a viable minecraft ingredient for cake,0.10714285714285714,"[0.25, 0.25, 0.25, 0.0, 0.0, 0.0, 0.0]",0.10714285714285714,0.12371791482634838,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
a useful resource for building,0.1071428571428571,"[1.0, 0.75, 1.0, 1.0, 1.0, 1.0, 0.5]",0.8928571428571429,0.1821078397711709,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0
an ideal place to build a base,0.1071428571428571,"[1.0, 0.75, 0.75, 1.0, 1.0, 0.75, 1.0]",0.8928571428571429,0.12371791482634836,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0
a clay pot,0.1071428571428571,"[1.0, 0.75, 1.0, 0.75, 1.0, 0.75, 1.0]",0.8928571428571429,0.12371791482634836,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0
2 different varieties of wood planks stacked on top of each other,0.09999999999999998,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,"[1.0, 1.0, 1.0, 0.25, 1.0, 1.0, 1.0, 1.0, 0.75, 1.0]",0.9,0.22912878474779202
a mushroom,0.08214285714285707,"[1.0, 1.0, 1.0, 0.75, 0.75, 0.5, 1.0]",0.8571428571428571,0.1821078397711709,"[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 1.0, 0.75, 0.75]",0.775,0.075
an animal whose enclosure gives it a reason to be happy,0.07499999999999996,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,"[0.75, 1.0, 1.0, 0.75, 0.75, 1.0, 1.0, 1.0, 1.0, 1.0]",0.925,0.11456439237389601
a tropical biome,0.07142857142857142,"[0.0, 0.0, 0.25, 0.0, 0.25, 0.0, 0.0]",0.07142857142857142,0.11293848786315641,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
a village farm,0.0714285714285714,"[1.0, 0.75, 1.0, 1.0, 1.0, 0.75, 1.0]",0.9285714285714286,0.11293848786315641,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0
a patch of gravel,0.03928571428571426,"[0.75, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.9642857142857143,0.08748177652797066,"[1.0, 1.0, 1.0, 1.0, 0.75, 0.75, 0.75, 1.0, 1.0, 1.0]",0.925,0.11456439237389601
a good place to get prismarine,0.03571428571428571,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25]",0.03571428571428571,0.08748177652797065,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
a cat,0.03571428571428571,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0]",0.03571428571428571,0.08748177652797065,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
two villagers,0.03571428571428571,"[0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0]",0.03571428571428571,0.08748177652797065,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
an oak tree,0.03571428571428571,"[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0]",0.03571428571428571,0.08748177652797066,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
useful shelter in an otherwise dangerous place,0.0357142857142857,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.75, 1.0]",0.9642857142857143,0.08748177652797065,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0
stilts,0.0357142857142857,"[1.0, 1.0, 1.0, 0.75, 1.0, 1.0, 1.0]",0.9642857142857143,0.08748177652797065,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0
sugarcane,0.0357142857142857,"[1.0, 1.0, 1.0, 0.75, 1.0, 1.0, 1.0]",0.9642857142857143,0.08748177652797065,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0
a hole you dug,0.0357142857142857,"[1.0, 1.0, 1.0, 1.0, 0.75, 1.0, 1.0]",0.9642857142857143,0.08748177652797065,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0
a light source,0.0357142857142857,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.75, 1.0]",0.9642857142857143,0.08748177652797065,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0
an abandoned mineshaft,0.0357142857142857,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.75, 1.0]",0.9642857142857143,0.08748177652797065,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0
"anything, as long as you are under water when taking it",0.025000000000000022,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,"[1.0, 1.0, 0.75, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.975,0.075
a rare biome,0.017857142857142905,"[1.0, 1.0, 1.0, 1.0, 0.5, 0.75, 1.0]",0.8928571428571429,0.1821078397711709,"[1.0, 0.75, 1.0, 1.0, 1.0, 0.75, 1.0, 0.75, 0.75, 0.75]",0.875,0.125
a desert,0.01428571428571429,"[0.0, 0.75, 0.25, 0.75, 0.0, 0.25, 0.0]",0.2857142857142857,0.31134992453861954,"[0.25, 0.25, 0.25, 0.25, 0.75, 0.25, 0.25, 0.25, 0.25, 0.25]",0.3,0.15000000000000002
something out of place,0.010714285714285676,"[0.75, 1.0, 1.0, 1.0, 0.75, 1.0, 0.0]",0.7857142857142857,0.33881546358946923,"[0.75, 0.75, 0.75, 0.75, 1.0, 0.75, 0.75, 0.75, 0.75, 0.75]",0.775,0.075
a chicken,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0
a striped landscape,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0
some stairs that you placed onto some cobblestone,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0
items,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0
iron_ore,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
blue stained glass,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
